SETOR ECONÔMICO,SUBSETOR,SEGMENTO,NOME_B3,LISTAGEM_DOC,LISTAGEM_SEGMENTO,GF_codigo
Consumo Cíclico,Construção Civil,Incorporações,CR2         ,CRDE,NM             ,
Consumo Cíclico,Construção Civil,Incorporações,CURY S/A,CURY,NM             ,
Consumo Cíclico,Construção Civil,Incorporações,DIRECIONAL  ,DIRR,NM             ,
Consumo Cíclico,Construção Civil,Incorporações,EVEN        ,EVEN,NM             ,
Consumo Cíclico,Construção Civil,Incorporações,EZTEC       ,EZTC,NM             ,
Consumo Cíclico,Construção Civil,Incorporações,GAFISA      ,GFSA,NM             ,
Consumo Cíclico,Construção Civil,Incorporações,HELBOR      ,HBOR,NM             ,
Consumo Cíclico,Construção Civil,Incorporações,INTER SA ,INNT,MA,
Consumo Cíclico,Construção Civil,Incorporações,JHSF PART   ,JHSF,NM             ,
Consumo Cíclico,Construção Civil,Incorporações,JOAO FORTES ,JFEN,,
Consumo Cíclico,Construção Civil,Incorporações,KALLAS,KLAS,,
Consumo Cíclico,Construção Civil,Incorporações,LAVVI,LAVV,NM             ,
Consumo Cíclico,Construção Civil,Incorporações,MELNICK,MELK,NM             ,
Consumo Cíclico,Construção Civil,Incorporações,MITRE REALTY,MTRE,NM             ,
Consumo Cíclico,Construção Civil,Incorporações,MOURA DUBEUX,MDNE,NM             ,
Consumo Cíclico,Construção Civil,Incorporações,MRV         ,MRVE,NM             ,
Consumo Cíclico,Construção Civil,Incorporações,PDG REALT   ,PDGR,NM             ,
Consumo Cíclico,Construção Civil,Incorporações,PLANOEPLANO,PLPL,NM             ,
Consumo Cíclico,Construção Civil,Incorporações,RNI,RDNI,NM             ,
Consumo Cíclico,Construção Civil,Incorporações,ROSSI RESID ,RSID,NM             ,
Consumo Cíclico,Construção Civil,Incorporações,SYN PROP TEC,SYNE,NM             ,
Consumo Cíclico,Construção Civil,Incorporações,TECNISA     ,TCSA,NM             ,
Consumo Cíclico,Construção Civil,Incorporações,TEGRA INCORP,TEGA,,
Consumo Cíclico,Construção Civil,Incorporações,TENDA,TEND,NM             ,
Consumo Cíclico,Construção Civil,Incorporações,TRISUL      ,TRIS,NM             ,
Consumo Cíclico,Construção Civil,Incorporações,VIVER       ,VIVR,NM             ,
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,CEDRO       ,CEDO,N1             ,
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,COTEMINAS   ,CTNM,,
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,DOHLER      ,DOHL,,
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,ENCORPAR    ,ECPR,,
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,IND CATAGUAS,CATA,,
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,KARSTEN     ,CTKA,,
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,PETTENATI   ,PTNT,,
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,SANTANENSE  ,CTSA,,
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,SPRINGS     ,SGPS,NM             ,
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,TEKA        ,TEKA,,
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,TEX RENAUX  ,TXRX,,
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Vestuário,TRACK FIELD,TFCO,N2,
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados,ALPARGATAS  ,ALPA,N1             ,
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados,CAMBUCI     ,CAMB,,
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados,GRENDENE    ,GRND,NM             ,
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados,VULCABRAS   ,VULC,NM             ,
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Acessórios,MUNDIAL     ,MNDL,,
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Acessórios,TECHNOS     ,TECN,NM             ,
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Acessórios,VIVARA S.A.,VIVA,NM             ,
Consumo Cíclico,Utilidades Domésticas,Eletrodomésticos,WHIRLPOOL   ,WHRL,,
Consumo Cíclico,Utilidades Domésticas,Móveis,UNICASA,UCAS,NM             ,
Consumo Cíclico,Utilidades Domésticas,Utensílios Domésticos,HERCULES    ,HETA,,
Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas,IOCHP-MAXION,MYPK,NM             ,
Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas,METAL LEVE  ,LEVE,NM             ,
Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas,PLASCAR PART,PLAS,,
Consumo Cíclico,Hoteis e Restaurantes,Hotelaria,HOTEIS OTHON,HOOT,,
Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares,BK BRASIL,BKBR,NM             ,
Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares,IMC S/A,MEAL,NM             ,
Consumo Cíclico,Viagens e Lazer,Bicicletas,BIC MONARK  ,BMKS,,
Consumo Cíclico,Viagens e Lazer,Brinquedos e Jogos,ESTRELA     ,ESTR,,
Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,SPTURIS     ,AHEB,,
Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,TIME FOR FUN,SHOW,NM             ,
Consumo Cíclico,Viagens e Lazer,Viagens e Turismo,CVC BRASIL,CVCB,NM             ,
Consumo Cíclico,Viagens e Lazer,Atividades Esportivas,SMART FIT,SMFT,NM             ,
Consumo Cíclico,Diversos,Serviços Educacionais,ANIMA,ANIM,NM             ,
Consumo Cíclico,Diversos,Serviços Educacionais,BAHEMA      ,BAHI,MA,
Consumo Cíclico,Diversos,Serviços Educacionais,COGNA ON,COGN,NM             ,
Consumo Cíclico,Diversos,Serviços Educacionais,CRUZEIRO EDU,CSED,NM             ,
Consumo Cíclico,Diversos,Serviços Educacionais,SER EDUCA,SEER,NM             ,
Consumo Cíclico,Diversos,Serviços Educacionais,YDUQS PART,YDUQ,NM             ,
Consumo Cíclico,Diversos,Aluguel de carros,LOCALIZA    ,RENT,NM             ,
Consumo Cíclico,Diversos,Aluguel de carros,LOCAMERICA,LCAM,NM             ,
Consumo Cíclico,Diversos,Aluguel de carros,MAESTROLOC,MSRO,M2,
Consumo Cíclico,Diversos,Aluguel de carros,MOVIDA,MOVI,NM             ,
Consumo Cíclico,Diversos,Aluguel de carros,UNIDAS      ,UNID,,
Consumo Cíclico,Diversos,Aluguel de carros,VAMOS,VAMO,NM             ,
Consumo Cíclico,Diversos,Programas de Fidelização,DOTZ SA,DOTZ,NM             ,
Consumo Cíclico,Diversos,Programas de Fidelização,SMILES,SMLS,NM             ,
Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",AREZZO CO   ,ARZZ,NM             ,
Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",CEA MODAS,CEAB,NM             ,
Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",GRAZZIOTIN  ,CGRA,,
Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",GRUPO SOMA,SOMA,NM             ,
Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",GUARARAPES  ,GUAR,,
Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",LE LIS BLANC,LLIS,NM             ,
Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",LOJAS MARISA,AMAR,NM             ,
Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",LOJAS RENNER,LREN,NM             ,
Consumo Cíclico,Comércio,Eletrodomésticos,ALLIED,ALLD,NM             ,
Consumo Cíclico,Comércio,Eletrodomésticos,MAGAZ LUIZA ,MGLU,NM             ,
Consumo Cíclico,Comércio,Eletrodomésticos,VIA,VIIA,NM             ,
Consumo Cíclico,Comércio,Produtos Diversos,AMERICANAS,AMER,NM             ,
Consumo Cíclico,Comércio,Produtos Diversos,CENTAURO,CNTO,NM             ,
Consumo Cíclico,Comércio,Produtos Diversos,ESPACOLASER,ESPA,NM             ,
Consumo Cíclico,Comércio,Produtos Diversos,LE BISCUIT,LLBI,,
Consumo Cíclico,Comércio,Produtos Diversos,LOJAS AMERIC,LAME,N1             ,
Consumo Cíclico,Comércio,Produtos Diversos,PETZ,PETZ,NM             ,
Consumo Cíclico,Comércio,Produtos Diversos,QUERO-QUERO,LJQQ,NM             ,
Consumo Cíclico,Comércio,Produtos Diversos,SARAIVA LIVR,SLED,N2             ,
Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,BIOMM       ,BIOM,MA,
Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,NORTCQUIMICA,NRTQ,MA,
Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,OUROFINO S/A,OFSA,NM             ,
Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,VIVEO,VVEO,NM             ,
Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",ALLIAR,AALR,NM             ,
Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",DASA        ,DASA,NM             ,
Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",FLEURY      ,FLRY,NM             ,
Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",HAPVIDA,HAPV,NM             ,
Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",IHPARDINI,PARD,NM             ,
Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",INTERMEDICA,GNDI,NM             ,
Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",KORA SAUDE,KRSA,NM             ,
Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",MATER DEI,MATD,NM             ,
Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",ODONTOPREV  ,ODPV,NM             ,
Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",ONCOCLINICAS,ONCO,NM             ,
Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",QUALICORP   ,QUAL,NM             ,
Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",REDE D OR,RDOR,NM             ,
Saúde,Equipamentos,Equipamentos,BAUMER      ,BALM,,
Saúde,Equipamentos,Equipamentos,LIFEMED,LMED,MA,
Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,BLAU,BLAU,NM             ,
Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,DIMED       ,PNVL,NM             ,
Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,D1000VFARMA,DMVF,NM             ,
Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,HYPERA,HYPE,NM             ,
Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,PAGUE MENOS,PGMN,NM             ,
Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,PROFARMA    ,PFRM,NM             ,
Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,RAIADROGASIL    ,RADL,NM             ,
Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos,INTELBRAS,INTB,NM             ,
Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos,MULTILASER,MLAS,NM             ,
Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos,POSITIVO TEC,POSI,NM             ,
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,BEMOBI TECH,BMOB,NM             ,
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,BRQ,BRQB,MA,
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,ENJOEI,ENJU,NM             ,
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,GETNINJAS,NINJ,NM             ,
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,INFRACOMM,IFCM,NM             ,
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,LOCAWEB,LWSA,NM             ,
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,MELIUZ,CASH,NM             ,
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,MOBLY,MBLY,NM             ,
